bathrooms,bedrooms,floor_area,href,latitude,listing_url,location,longitude,price,title,type
2 ,2 ,102 sqm,/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-493013.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-493013.html,,,"60,000BHD",Apartment in a good tower close to RCSI college,Apartment
1 ,studio ,39 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-492980.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-492980.html,,,"40,000BHD",Pool view studio in a luxurious tower at Fontana,Apartment
4 ,3 ,224 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493351.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493351.html,,,"190,000BHD",Seeking for luxury home this property is a winner!,Apartment
1 ,1 ,52 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-493048.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-493048.html,,,"37,000BHD",Smart  Investment  Brand New Tower  1Bed,Apartment
1 ,studio ,54 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-493360.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-493360.html,,,"55,000BHD",Luxurious studio apartment with modern interior,Apartment
7+ ,4 ,550 sqm,/en/buy/villa-for-sale-northern-governorate-saar-493115.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-493115.html,,,"255,000BHD",Fully Furnished Villa With Swimming Pool,Villa
4 ,3 ,200 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-493357.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-493357.html,,,"115,000BHD",Big apartment with balcony and maid-room in Abraj,Apartment
2 ,1 ,75 sqm,/en/buy/apartment-for-sale-capital-governorate-al-juffair-492978.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-al-juffair-492978.html,,,"56,000BHD",Modern spacious one bed apartment with city view,Apartment
7+ ,7 ,529 sqm,/en/buy/villa-for-sale-northern-governorate-saar-493867.html,,https://www.propertyfinder.bh/en/buy/villa-for-sale-northern-governorate-saar-493867.html,,,"185,000BHD",Nearby Saar cinema and Ahlia school.,Villa
2 ,1 ,79 sqm,/en/buy/apartment-for-sale-capital-governorate-seef-493047.html,,https://www.propertyfinder.bh/en/buy/apartment-for-sale-capital-governorate-seef-493047.html,,,"85,000BHD",Bahrain Top Developer. Spectacular Views,Apartment
